Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
R49,40.900000mm,57.650000mm,Top,0.0,40.900000mm,57.650000mm
R50,35.950000mm,60.550000mm,Top,0.0,35.950000mm,60.550000mm
R51,41.250000mm,61.450000mm,Top,0.0,41.250000mm,61.450000mm
R52,47.400000mm,95.600000mm,Top,90.0,47.400000mm,95.600000mm
R53,49.400000mm,95.600000mm,Top,90.0,49.400000mm,95.600000mm
R54,37.450000mm,95.500000mm,Top,90.0,37.450000mm,95.500000mm
R55,20.200000mm,95.600000mm,Top,90.0,20.200000mm,95.600000mm
R56,14.000000mm,95.550000mm,Top,90.0,14.000000mm,95.550000mm
R57,7.700000mm,95.450000mm,Top,90.0,7.700000mm,95.450000mm
R58,1.347390mm,95.466701mm,Top,90.0,1.347390mm,95.466701mm
R59,45.200000mm,95.600000mm,Top,-90.0,45.200000mm,95.600000mm
R60,43.200000mm,95.600000mm,Top,90.0,43.200000mm,95.600000mm
R61,30.700000mm,95.350000mm,Top,90.0,30.700000mm,95.350000mm
R62,28.500000mm,95.300000mm,Top,90.0,28.500000mm,95.300000mm
R63,22.200000mm,95.600000mm,Top,90.0,22.200000mm,95.600000mm
R64,16.050000mm,95.550000mm,Top,90.0,16.050000mm,95.550000mm
R65,9.850000mm,95.500000mm,Top,90.0,9.850000mm,95.500000mm
R66,3.450000mm,95.466701mm,Top,90.0,3.450000mm,95.466701mm
R67,26.250000mm,95.550000mm,Top,90.0,26.250000mm,95.550000mm
R68,24.200000mm,95.600000mm,Top,90.0,24.200000mm,95.600000mm
R69,18.050000mm,95.550000mm,Top,90.0,18.050000mm,95.550000mm
R70,11.950000mm,95.500000mm,Top,90.0,11.950000mm,95.500000mm
R71,5.600000mm,95.450000mm,Top,90.0,5.600000mm,95.450000mm
R72,20.300000mm,50.300000mm,Top,90.0,20.300000mm,50.300000mm
R73,20.300000mm,45.800010mm,Top,90.0,20.300000mm,45.800010mm
R74,15.700000mm,37.800000mm,Top,180.0,15.700000mm,37.800000mm
R75,22.600000mm,50.300000mm,Top,90.0,22.600000mm,50.300000mm
R76,20.100000mm,42.050000mm,Top,90.0,20.100000mm,42.050000mm
R77,22.650000mm,45.850000mm,Top,90.0,22.650000mm,45.850000mm
R78,53.400000mm,62.700000mm,Top,90.0,53.400000mm,62.700000mm
R79,58.750000mm,55.700000mm,Top,90.0,58.750000mm,55.700000mm
R80,58.700000mm,58.200000mm,Top,-90.0,58.700000mm,58.200000mm
R81,58.700000mm,65.950000mm,Top,90.0,58.700000mm,65.950000mm
R82,58.800000mm,68.500000mm,Top,-90.0,58.800000mm,68.500000mm
R83,31.800000mm,60.550000mm,Top,0.0,31.800000mm,60.550000mm
R84,38.500000mm,53.000000mm,Top,270.0,38.500000mm,53.000000mm
R85,58.550000mm,87.300000mm,Top,0.0,58.550000mm,87.300000mm
R86,56.950000mm,55.050000mm,Top,0.0,56.950000mm,55.050000mm
R87,58.700000mm,60.700000mm,Top,-90.0,58.700000mm,60.700000mm
R88,58.700000mm,63.400000mm,Top,90.0,58.700000mm,63.400000mm
R89,60.000000mm,68.300000mm,Top,90.0,60.000000mm,68.300000mm
R90,26.200000mm,13.750000mm,Top,-90.0,26.200000mm,13.750000mm
R91,94.580000mm,89.390000mm,Top,90.0,94.580000mm,89.390000mm
S1,62.450000mm,1.850000mm,Top,180.0,62.450000mm,1.850000mm
S2,62.500000mm,6.500000mm,Top,180.0,62.500000mm,6.500000mm
U1,62.550000mm,86.050000mm,Top,90.0,62.550000mm,86.050000mm
U2,1.950000mm,42.250010mm,Top,-90.0,1.950000mm,42.250010mm
U3,72.800000mm,4.150000mm,Top,0.0,72.800000mm,4.150000mm
U4,16.350000mm,14.100000mm,Top,180.0,16.350000mm,14.100000mm
U5,17.550000mm,42.100000mm,Top,-90.0,17.550000mm,42.100000mm
U6,47.200000mm,88.150000mm,Top,0.0,47.200000mm,88.150000mm
U7,45.670000mm,3.490000mm,Top,90.0,45.670000mm,3.490000mm
