Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
R43,72.25mm,83.637500mm,Bottom,0.0,72.25mm,83.637500mm
R44,72.25mm,82.337500mm,Bottom,180.0,72.25mm,82.337500mm
R47,77.8mm,50.000000mm,Bottom,90.0,77.8mm,50.000000mm
R52,83.9mm,88.100000mm,Bottom,180.0,83.9mm,88.100000mm
R53,76.0mm,90.100000mm,Bottom,180.0,76.0mm,90.100000mm
R54,76.0mm,88.600000mm,Bottom,0.0,76.0mm,88.600000mm
R55,87.5mm,88.800000mm,Bottom,0.0,87.5mm,88.800000mm
R57,79.4mm,85.500000mm,Bottom,-90.0,79.4mm,85.500000mm
R58,48.8mm,97.200000mm,Bottom,0.0,48.8mm,97.200000mm
R73,30.2mm,69.500000mm,Bottom,90.0,30.2mm,69.500000mm
R78,13.1mm,73.700000mm,Bottom,180.0,13.1mm,73.700000mm
R79,20.1mm,73.700000mm,Bottom,180.0,20.1mm,73.700000mm
R80,9.6mm,73.700000mm,Bottom,0.0,9.6mm,73.700000mm
R81,16.6mm,75.100000mm,Bottom,180.0,16.6mm,75.100000mm
R82,13.1mm,75.100000mm,Bottom,0.0,13.1mm,75.100000mm
R83,20.1mm,75.000000mm,Bottom,0.0,20.1mm,75.000000mm
R84,9.6mm,75.100000mm,Bottom,180.0,9.6mm,75.100000mm
R86,20.1mm,72.300000mm,Bottom,0.0,20.1mm,72.300000mm
R87,13.1mm,72.300000mm,Bottom,0.0,13.1mm,72.300000mm
R88,16.6mm,72.300000mm,Bottom,0.0,16.6mm,72.300000mm
R1110,63.2mm,86.700000mm,Bottom,0.0,63.2mm,86.700000mm
R1111,67.85mm,80.162500mm,Bottom,180.0,67.85mm,80.162500mm
R1112,71.9mm,78.225000mm,Bottom,0.0,71.9mm,78.225000mm
R1125,36.6625mm,73.900000mm,Bottom,90.0,36.6625mm,73.900000mm
R1126,34.7mm,69.500000mm,Bottom,90.0,34.7mm,69.500000mm
R1127,38.2mm,73.900000mm,Bottom,90.0,38.2mm,73.900000mm
R1128,39.7mm,73.900000mm,Bottom,-90.0,39.7mm,73.900000mm
R1129,29.9625mm,73.900000mm,Bottom,90.0,29.9625mm,73.900000mm
R1132,31.4625mm,73.900000mm,Bottom,-90.0,31.4625mm,73.900000mm
R1135,44.3mm,69.500000mm,Bottom,90.0,44.3mm,69.500000mm
R1137,23.7mm,74.837500mm,Bottom,0.0,23.7mm,74.837500mm
